Name,County,Facility URL,ZipCode,Latitude,Longitude,Location
Alger Island Campground,HERKIMER,http://www.dec.ny.gov/outdoor/24451.html,13420,43.745784,-74.874585,"(43.745784, -74.874585)"
Allegany,Cattaraugus,https://parks.ny.gov/parks/136/details.aspx,14779,42.05475752,-78.76855865,"(42.05475752, -78.76855865)"
Ausable Point Campground,CLINTON,http://www.dec.ny.gov/outdoor/24452.html,12972,44.570662,-73.430416,"(44.570662, -73.430416)"
Bear Spring Mountain Campground,DELAWARE,http://www.dec.ny.gov/outdoor/24454.html,13856,42.119063,-75.068586,"(42.119063, -75.068586)"
Beaverkill Campground,SULLIVAN,http://www.dec.ny.gov/outdoor/24455.html,12776,41.977219,-74.839592,"(41.977219, -74.839592)"
Betty & Wilbur Davis,Otsego,https://parks.ny.gov/parks/85/details.aspx,12155,42.66363969,-74.83290982,"(42.66363969, -74.83290982)"
Bowman Lake,Chenango,https://parks.ny.gov/parks/76/details.aspx,13830,42.51998474,-75.6806338,"(42.51998474, -75.6806338)"
Brown Tract Pond Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24456.html,13360,43.809152,-74.701188,"(43.809152, -74.701188)"
Buck Pond Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24457.html,12989,44.501034,-74.112157,"(44.501034, -74.112157)"
Burnham Point,Jefferson,https://parks.ny.gov/parks/57/details.aspx,13618,44.16250249,-76.26444427,"(44.16250249, -76.26444427)"
Buttermilk Falls,Tompkins,https://parks.ny.gov/parks/151/details.aspx,14850,42.40402596,-76.51225664,"(42.40402596, -76.51225664)"
Canoe Picnic Point,Jefferson,https://parks.ny.gov/parks/64/details.aspx,13692,44.30417139,-76.07471216,"(44.30417139, -76.07471216)"
Caroga Lake Campground,FULTON,http://www.dec.ny.gov/outdoor/24458.html,12095,43.124012,-74.471252,"(43.124012, -74.471252)"
Cayuga Lake,Seneca,https://parks.ny.gov/parks/123/details.aspx,13148,42.89795191,-76.75531185,"(42.89795191, -76.75531185)"
Cedar Island,St. Lawrence,https://parks.ny.gov/parks/25/details.aspx,13646,44.44967933,-75.79052886,"(44.44967933, -75.79052886)"
Cedar Point,Jefferson,https://parks.ny.gov/parks/21/details.aspx,13624,44.2034892,-76.19613394,"(44.2034892, -76.19613394)"
Chenango Valley,Broome,https://parks.ny.gov/parks/41/details.aspx,13746,42.21554025,-75.83623684,"(42.21554025, -75.83623684)"
Cherry Plain,Rensselaer,https://parks.ny.gov/parks/173/details.aspx,12138,42.61786779,-73.41221527,"(42.61786779, -73.41221527)"
Clarence Fahnestock,Putnam,https://parks.ny.gov/parks/133/details.aspx,10512,41.45275633,-73.84764739,"(41.45275633, -73.84764739)"
Coles Creek,St. Lawrence,https://parks.ny.gov/parks/72/details.aspx,13669,44.88473357,-75.12323609,"(44.88473357, -75.12323609)"
Cranberry Lake Campground,ST LAWRENCE,http://www.dec.ny.gov/outdoor/24460.html,12927,44.195805,-74.82649,"(44.195805, -74.82649)"
Crown Point Campground,ESSEX,http://www.dec.ny.gov/outdoor/24461.html,12928,44.02605,-73.421172,"(44.02605, -73.421172)"
Cumberland Bay,Clinton,https://parks.ny.gov/parks/34/details.aspx,12901,44.73334654,-73.42117996,"(44.73334654, -73.42117996)"
Darien Lakes,Genesee,https://parks.ny.gov/parks/144/details.aspx,14040,42.91181416,-78.4114923,"(42.91181416, -78.4114923)"
Delta Lake,Oneida,https://parks.ny.gov/parks/66/details.aspx,13486,43.29096558,-75.42187224,"(43.29096558, -75.42187224)"
Devil'S Tombstone Campground,GREENE,http://www.dec.ny.gov/outdoor/24462.html,12424,42.152974,-74.206624,"(42.152974, -74.206624)"
DeWolf Point,Jefferson,https://parks.ny.gov/parks/22/details.aspx,13640,44.33274077,-75.9901418,"(44.33274077, -75.9901418)"
Eagle Point Campground,WARREN,http://www.dec.ny.gov/outdoor/24463.html,12860,43.747823,-73.795196,"(43.747823, -73.795196)"
Eel Weir,St. Lawrence,https://parks.ny.gov/parks/121/details.aspx,13669,44.62999004,-75.47592958,"(44.62999004, -75.47592958)"
Eighth Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24465.html,13360,43.764273,-74.709992,"(43.764273, -74.709992)"
Evangola,Erie,https://parks.ny.gov/parks/91/details.aspx,14081,42.60579936,-79.10185926,"(42.60579936, -79.10185926)"
Fair Haven Beach,Cayuga,https://parks.ny.gov/parks/12/details.aspx,13064,43.34170812,-76.69131068,"(43.34170812, -76.69131068)"
Fillmore Glen,Cayuga,https://parks.ny.gov/parks/157/details.aspx,13118,42.69096898,-76.38800625,"(42.69096898, -76.38800625)"
Fish Creek Pond Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24466.html,12986,44.299762,-74.369329,"(44.299762, -74.369329)"
Forked Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24467.html,12847,43.908561,-74.53502,"(43.908561, -74.53502)"
Four Mile Creek,Niagara,https://parks.ny.gov/parks/6/details.aspx,14174,43.27437645,-78.99746851,"(43.27437645, -78.99746851)"
Gilbert Lake,Otsego,https://parks.ny.gov/parks/19/details.aspx,13796,42.586584,-75.13246312,"(42.586584, -75.13246312)"
Glimmerglass,Otsego,https://parks.ny.gov/parks/28/details.aspx,13326,42.79362617,-74.86868392,"(42.79362617, -74.86868392)"
Golden Beach Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24468.html,13436,43.808106,-74.601659,"(43.808106, -74.601659)"
Golden Hill,Niagara,https://parks.ny.gov/parks/143/details.aspx,14012,43.36946168,-78.48015886,"(43.36946168, -78.48015886)"
Grass Point,Jefferson,https://parks.ny.gov/parks/139/details.aspx,13607,44.28176681,-75.99593007,"(44.28176681, -75.99593007)"
Green Lakes,Onondaga,https://parks.ny.gov/parks/172/details.aspx,13066,43.04697832,-75.9818848,"(43.04697832, -75.9818848)"
Hamlin Beach,Monroe,https://parks.ny.gov/parks/20/details.aspx,14464,43.3600913,-77.95509767,"(43.3600913, -77.95509767)"
Harriman,Rock/Orange,https://parks.ny.gov/parks/145/details.aspx,10910,41.23733048,-74.10169996,"(41.23733048, -74.10169996)"
Hearthstone Point Campground,WARREN,http://www.dec.ny.gov/outdoor/24470.html,12845,43.455204,-73.697195,"(43.455204, -73.697195)"
Heckscher,Suffolk,https://parks.ny.gov/parks/136/details.aspx,11730,40.70866151,-73.16492238,"(40.70866151, -73.16492238)"
Higley Flow,St. Lawrence,https://parks.ny.gov/parks/58/details.aspx,13687,44.49829863,-74.91464273,"(44.49829863, -74.91464273)"
Hither Hills,Suffolk,https://parks.ny.gov/parks/122/details.aspx,11954,41.01605601,-72.02131304,"(41.01605601, -72.02131304)"
Hudson River Islands,Columbia/Greene,https://parks.ny.gov/parks/98/details.aspx,12534,42.32888525,-73.7783764,"(42.32888525, -73.7783764)"
Indian Lake Islands Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24471.html,12842,43.64828,-74.388577,"(43.64828, -74.388577)"
Jacques Cartier,St. Lawrence,https://parks.ny.gov/parks/114/details.aspx,13664,44.55484146,-75.6805192,"(44.55484146, -75.6805192)"
John Boyd Thacher,Albany,https://parks.ny.gov/parks/128/details.aspx,12186,42.65546552,-74.01470616,"(42.65546552, -74.01470616)"
Keewaydin,Jefferson,https://parks.ny.gov/parks/24/details.aspx,13607,44.32343021,-75.92971103,"(44.32343021, -75.92971103)"
Kenneth L. Wilson Campground,ULSTER,http://www.dec.ny.gov/outdoor/24472.html,12409,42.025082,-74.217026,"(42.025082, -74.217026)"
Keuka Lake,Yates,https://parks.ny.gov/parks/67/details.aspx,14478,42.58218255,-77.12858336,"(42.58218255, -77.12858336)"
Kring Point,Jefferson,https://parks.ny.gov/parks/14/details.aspx,13679,44.37718875,-75.85615854,"(44.37718875, -75.85615854)"
Lake Durant Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24473.html,12812,43.836349,-74.395049,"(43.836349, -74.395049)"
Lake Eaton Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24464.html,12847,43.98883,-74.461964,"(43.98883, -74.461964)"
Lake Erie,Chautauqua,https://parks.ny.gov/parks/129/details.aspx,14716,42.42289079,-79.43141787,"(42.42289079, -79.43141787)"
Lake George Battleground Campground,WARREN,http://www.dec.ny.gov/outdoor/24453.html,12845,43.416346,-73.70927,"(43.416346, -73.70927)"
Lake George Islands Campground,WARREN,http://www.dec.ny.gov/outdoor/24474.html,12819,43.587823,-73.56741,"(43.587823, -73.56741)"
Lake Harris Campground,ESSEX,http://www.dec.ny.gov/outdoor/24469.html,12852,43.979393,-74.133351,"(43.979393, -74.133351)"
Lake Taghkanic,Columbia,https://parks.ny.gov/parks/38/details.aspx,12502,42.09288182,-73.70588782,"(42.09288182, -73.70588782)"
Lakeside Beach,Orleans,https://parks.ny.gov/parks/161/details.aspx,14571,43.36638358,-78.24370249,"(43.36638358, -78.24370249)"
Letchworth,Liv/Wyo,https://parks.ny.gov/parks/79/details.aspx,14549,42.64592135,-77.97576922,"(42.64592135, -77.97576922)"
Lewey Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24475.html,12108,43.655755,-74.386678,"(43.655755, -74.386678)"
Limekiln Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24476.html,13360,43.720064,-74.804826,"(43.720064, -74.804826)"
Lincoln Pond Campground,ESSEX,http://www.dec.ny.gov/outdoor/24477.html,12932,44.137906,-73.578797,"(44.137906, -73.578797)"
Little Pond Campground,DELAWARE,http://www.dec.ny.gov/outdoor/24478.html,13731,42.034308,-74.741032,"(42.034308, -74.741032)"
Little Sand Point Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24479.html,12139,43.414236,-74.555059,"(43.414236, -74.555059)"
Long Point,Cayuga,https://parks.ny.gov/parks/170/details.aspx,13026,42.71741104,-76.69840928,"(42.71741104, -76.69840928)"
Long Point,Jefferson,https://parks.ny.gov/parks/54/details.aspx,13693,44.02844022,-76.21705748,"(44.02844022, -76.21705748)"
Luzerne Campground,WARREN,http://www.dec.ny.gov/outdoor/24480.html,12846,43.36032,-73.816673,"(43.36032, -73.816673)"
Macomb Reservation,Clinton,https://parks.ny.gov/parks/77/details.aspx,12985,44.61786492,-73.61240776,"(44.61786492, -73.61240776)"
Margaret Lewis Norrie,Dutchess,https://parks.ny.gov/parks/171/details.aspx,12580,41.84153655,-73.93895514,"(41.84153655, -73.93895514)"
Mary Island,Jefferson,https://parks.ny.gov/parks/40/details.aspx,13640,44.3655711,-75.92157812,"(44.3655711, -75.92157812)"
Max V. Shaul,Schoharie,https://parks.ny.gov/parks/94/details.aspx,12122,42.54799377,-74.41092231,"(42.54799377, -74.41092231)"
Meacham Lake Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24481.html,12915,44.578315,-74.286018,"(44.578315, -74.286018)"
Meadowbrook Campground,ESSEX,http://www.dec.ny.gov/outdoor/24482.html,12977,44.29639,-74.081217,"(44.29639, -74.081217)"
Moffitt Beach Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24483.html,12108,43.490116,-74.410399,"(43.490116, -74.410399)"
Mongaup Pond Campground,SULLIVAN,http://www.dec.ny.gov/outdoor/24484.html,12758,41.964619,-74.686534,"(41.964619, -74.686534)"
Moreau Lake,Saratoga,https://parks.ny.gov/parks/150/details.aspx,12831,43.23321367,-73.7337769,"(43.23321367, -73.7337769)"
Newtown Battlefield,Chemung,https://parks.ny.gov/parks/107/details.aspx,14861,42.04902652,-76.73631727,"(42.04902652, -76.73631727)"
Nicks Lake Campground,HERKIMER,http://www.dec.ny.gov/outdoor/24485.html,13420,43.685045,-74.97958,"(43.685045, -74.97958)"
North/South Lake Campground,GREENE,http://www.dec.ny.gov/outdoor/24487.html,12463,42.198397,-74.044961,"(42.198397, -74.044961)"
Northampton Beach Campground,FULTON,http://www.dec.ny.gov/outdoor/24486.html,12117,43.183891,-74.176576,"(43.183891, -74.176576)"
Oquaga Creek,Broome/Delaware,https://parks.ny.gov/parks/27/details.aspx,13754,42.17805145,-75.42467935,"(42.17805145, -75.42467935)"
Paradox Lake Campground,ESSEX,http://www.dec.ny.gov/outdoor/24488.html,12858,43.888763,-73.681417,"(43.888763, -73.681417)"
Point Comfort Campground,"HAMILTON, FULTON, HERKIMER",http://www.dec.ny.gov/outdoor/24489.html,12139,43.401759,-74.575983,"(43.401759, -74.575983)"
Poplar Point Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24491.html,12139,43.428646,-74.541481,"(43.428646, -74.541481)"
Putnam Pond Campground,ESSEX,http://www.dec.ny.gov/outdoor/24492.html,12883,43.841207,-73.573533,"(43.841207, -73.573533)"
Robert G. Wehle,Jefferson,https://parks.ny.gov/parks/137/details.aspx,13651,43.86716908,-76.27550032,"(43.86716908, -76.27550032)"
Robert H. Treman,Tompkins,https://parks.ny.gov/parks/135/details.aspx,14850,42.40057564,-76.57954421,"(42.40057564, -76.57954421)"
Rogers Rock Campground,WARREN,http://www.dec.ny.gov/outdoor/24493.html,12883,43.799164,-73.475481,"(43.799164, -73.475481)"
Rollins Pond Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24494.html,12986,44.306115,-74.404067,"(44.306115, -74.404067)"
Sacandaga Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24495.html,12190,43.357606,-74.284456,"(43.357606, -74.284456)"
Sampson,Seneca,https://parks.ny.gov/parks/154/details.aspx,14541,42.72549002,-76.9013257,"(42.72549002, -76.9013257)"
Saranac Lake Islands Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24496.html,12983,44.287407,-74.186551,"(44.287407, -74.186551)"
Scaroon Manor Campground,WARREN,http://www.dec.ny.gov/outdoor/72082.html,12860,43.767804,-73.788039,"(43.767804, -73.788039)"
Schodack Island,Alb/Rens,https://parks.ny.gov/parks/146/details.aspx,12156,42.49059902,-73.77652044,"(42.49059902, -73.77652044)"
Selkirk Shores,Oswego,https://parks.ny.gov/parks/84/details.aspx,13142,43.55566201,-76.19844002,"(43.55566201, -76.19844002)"
Sharp Bridge Campground,ESSEX,http://www.dec.ny.gov/outdoor/24497.html,12855,44.042406,-73.671944,"(44.042406, -73.671944)"
Southwick Beach,Jefferson,https://parks.ny.gov/parks/36/details.aspx,13650,43.76329127,-76.20460033,"(43.76329127, -76.20460033)"
Stony Brook,Steuben,https://parks.ny.gov/parks/118/details.aspx,14437,42.51855953,-77.69296639,"(42.51855953, -77.69296639)"
Taconic,Dutchess,https://parks.ny.gov/parks/83/details.aspx,12546,42.07786386,-73.51743928,"(42.07786386, -73.51743928)"
Taughannock Falls,Tompkins,https://parks.ny.gov/parks/62/details.aspx,14886,42.54073824,-76.60976708,"(42.54073824, -76.60976708)"
Taylor Pond Campground,CLINTON,http://www.dec.ny.gov/outdoor/24498.html,12912,44.494307,-73.828578,"(44.494307, -73.828578)"
Tioga Point Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24499.html,13436,43.844389,-74.631119,"(43.844389, -74.631119)"
Verona Beach,Oneida,https://parks.ny.gov/parks/102/details.aspx,13054,43.17800825,-75.71658659,"(43.17800825, -75.71658659)"
Watkins Glen,Schuyler,https://parks.ny.gov/parks/142/details.aspx,14891,42.36753974,-76.90013376,"(42.36753974, -76.90013376)"
Wellesley Island,Jefferson,https://parks.ny.gov/parks/52/details.aspx,13640,44.329238,-76.01544821,"(44.329238, -76.01544821)"
Westcott Beach,Jefferson,https://parks.ny.gov/parks/90/details.aspx,13685,43.89698048,-76.11801703,"(43.89698048, -76.11801703)"
Whetstone Gulf,Lewis,https://parks.ny.gov/parks/92/details.aspx,13404,43.69850757,-75.47741546,"(43.69850757, -75.47741546)"
Wildwood,Suffolk,https://parks.ny.gov/parks/68/details.aspx,11933,40.96049996,-72.79457341,"(40.96049996, -72.79457341)"
Wilmington Notch Campground,ESSEX,http://www.dec.ny.gov/outdoor/24500.html,12997,44.349386,-73.863022,"(44.349386, -73.863022)"
Woodland Valley Campground,ULSTER,http://www.dec.ny.gov/outdoor/24501.html,12464,42.035049,-74.3595,"(42.035049, -74.3595)"
